0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
0,4821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,23,0,0,0,16,0,0,6,0,0,0,0
0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0
0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,1272,0,0,2,2,0,0,2,1,0,1,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,120,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,32240,3,0,0,0,1,0,1,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,2,2035,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0
0,0,0,0,1,0,0,3,18473,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,2,1,0,2,0,18155,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,1,1,0,18312,2,2,2,3,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,95,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,0,0,5,0,1,2,0,0,4,0,16116,0,0,4,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,2,1,0,0,3,0,0,20244,3,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,2,1,0,0,2,0,0,2,24220,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,4,0
0,2,0,0,1,0,1,0,0,0,0,1,1,0,1,1275,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,0,0,0,0,1,52,0,0,0,26,1,0,3,0,0,0,0
0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,16,0,0,0,9,1,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,9035,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,4,11951,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,1,2,0,0,0,0,0,2,7,1,0,0,0,1,0,14941,1,0,0,0,0,0,0,0,0,0,0,0
0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,1169,0,0,0,25,1,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,4411,3,5,0,0,0,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,2,1,3378,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4031,0,0,0,0,0,0,1,0
0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,10,0,0,0,495,4,0,7,0,0,0,0
0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,16,215,0,40,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0
0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0,0,0,13,33,0,207,0,0,0,0
0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,157,0
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
